Year	Day	Month	temp
1999	11	4	8.805
1999	12	4	7.451041667
1999	13	4	4.952708333
1999	14	4	3.427708333
1999	15	4	4.351666667
1999	16	4	4.917916667
1999	17	4	6.460208333
1999	18	4	6.300208333
1999	19	4	6.221041667
1999	20	4	8.491875
1999	21	4	11.49354167
1999	22	4	10.2125
1999	23	4	11.27625
1999	24	4	9.763125
1999	25	4	11.93354167
1999	26	4	13.96
1999	27	4	12.91083333
1999	28	4	12.5175
1999	29	4	10.12854167
1999	30	4	12.20416667
1999	1	5	12.37958333
1999	2	5	13.15645833
1999	3	5	13.92145833
1999	4	5	12.82
1999	5	5	11.10291667
1999	6	5	13.37416667
1999	7	5	14.544375
1999	8	5	14.06479167
1999	9	5	15.48979167
1999	10	5	15.20208333
1999	11	5	13.58375
1999	12	5	12.87145833
1999	13	5	12.43020833
1999	14	5	11.80229167
1999	15	5	10.1825
1999	16	5	9.508958333
1999	17	5	12.46479167
1999	18	5	13.60645833
1999	19	5	16.63291667
1999	20	5	13.453125
1999	21	5	14.51021277
1999	22	5	11.96708333
1999	23	5	12.568125
1999	24	5	13.45645833
1999	25	5	13.43833333
1999	26	5	14.3806383
1999	27	5	20.09416667
1999	28	5	19.79020833
1999	29	5	19.79020833
1999	30	5	16.81645833
1999	31	5	13.32166667
1999	1	6	16.725
1999	2	6	17.64729167
1999	3	6	14.31
1999	4	6	13.42145833
1999	5	6	11.17625
1999	6	6	11.54645833
1999	7	6	12.27729167
1999	8	6	12.21375
1999	9	6	12.899375
1999	10	6	13.284375
1999	11	6	10.91354167
1999	12	6	13.21604167
1999	13	6	14.7125
1999	14	6	16.99520833
1999	15	6	17.705625
1999	16	6	19.02645833
1999	17	6	17.47416667
1999	18	6	13.27145833
1999	19	6	16.13895833
1999	20	6	13.50083333
1999	21	6	11.128125
1999	22	6	11.93604167
1999	23	6	14.01604167
1999	24	6	14.91833333
1999	25	6	14.621875
1999	26	6	17.97041667
1999	27	6	16.57208333
1999	28	6	14.49708333
1999	29	6	16.28145833
1999	30	6	15.911875
1999	1	7	14.9575
1999	2	7	18.2375
1999	3	7	20.30104167
1999	4	7	19.04541667
1999	5	7	16.20416667
1999	6	7	16.99708333
1999	7	7	16.91458333
1999	8	7	17.32708333
1999	9	7	18.45375
1999	10	7	20.68416667
1999	11	7	22.678125
1999	12	7	22.416875
1999	13	7	17.84083333
1999	14	7	16.109375
1999	15	7	16.25458333
1999	16	7	17.05083333
1999	17	7	18.41229167
1999	18	7	22.12833333
1999	19	7	21.59479167
1999	20	7	19.76645833
1999	21	7	15.91395833
1999	22	7	13.45229167
1999	23	7	14.30625
1999	24	7	19.29520833
1999	25	7	21.40166667
1999	26	7	16.79625
1999	27	7	15.74895833
1999	28	7	17.86229167
1999	29	7	20.35604167
1999	30	7	22.21875
1999	31	7	22.475
1999	1	8	22.88166667
1999	2	8	23.881875
1999	3	8	20.50458333
1999	4	8	20.55354167
1999	5	8	20.11916667
1999	6	8	20.863125
1999	7	8	18.793125
1999	8	8	17.20958333
1999	9	8	17.00875
1999	10	8	17.41979167
1999	11	8	14.73041667
1999	12	8	14.65770833
1999	13	8	16.61104167
1999	14	8	15.02
1999	15	8	15.27666667
1999	16	8	13.98375
1999	17	8	13.47520833
1999	18	8	14.52833333
1999	19	8	14.35708333
1999	20	8	14.26916667
1999	21	8	13.29729167
1999	22	8	13.46354167
1999	23	8	14.571875
1999	24	8	17.39574468
1999	25	8	22.89534884
1999	26	8	21.4
1999	27	8	17.3923913
1999	28	8	17.05916667
1999	29	8	17.58479167
1999	30	8	17.17479167
1999	31	8	15.77854167
1999	1	9	16.91
1999	2	9	15.20941176
1999	17	9	15.99433333
1999	18	9	14.30125
1999	19	9	16.58291667
1999	20	9	16.56958333
1999	21	9	14.30416667
1999	22	9	16.57083333
1999	23	9	17.77291667
1999	24	9	17.38354167
1999	25	9	15.87708333
1999	26	9	14.44229167
1999	27	9	13.376875
1999	28	9	14.88458333
1999	29	9	15.896875
1999	30	9	13.98520833
1999	1	10	13.318125
1999	2	10	12.09291667
1999	3	10	10.103125
1999	4	10	8.57375
1999	5	10	8.52
1999	6	10	9.648541667
1999	7	10	10.37416667
1999	8	10	12.02604167
1999	9	10	13.50270833
1999	10	10	14.27145833
1999	11	10	12.35708333
1999	12	10	10.59291667
1999	13	10	10.51479167
1999	14	10	10.23354167
1999	15	10	10.305
1999	16	10	8.876041667
1999	17	10	6.167708333
1999	18	10	5.235416667
