treatment,day,DOMaddition,DOM,bact_DOM,bact,fungi,resp_substrate,resp_soil_baseline,resp_soil,POM,MAOMs,MAOMp,MAOM
exudates,91,0,1.8495434434268259,3.7008452820993667,4.714173899626177,0.6126943421205971,1.004848345232989,2.6105347190704533,77.20095907790864,3740.1677564159822,13329.891567946846,8226.304189248873,21556.195757195717
exudates,92,0,1.3486256155551275,3.271707719706499,4.673256377266043,0.5956656068878492,0.9072688361265958,2.503005229814371,55.09009411135065,3708.5402593191543,13308.113300582685,8224.700592410241,21532.813892992926
exudates,93,0,0.9991686210182087,2.8104232858372487,4.633921326774014,0.5791766640761994,0.7847598927361509,2.367957374611398,37.95315391696721,3686.937312765562,13292.941367020609,8223.604124137915,21516.545491158526
exudates,94,0,0.7607214320986906,2.3659471267762737,4.596388481639014,0.5632109109793213,0.6559903972337516,2.2245849587526045,25.58311522067281,3672.5283803556363,13282.574421639956,8222.877318256798,21505.451739896755
exudates,95,0,0.5999983755372968,1.966645306235394,4.560755161845157,0.5477508591475343,0.5338522959046814,2.0865175047370137,17.11117627976117,3663.026224031164,13275.514773968789,8222.405211925501,21497.91998589429
exudates,96,0,0.49213186224694305,1.6247058405669068,4.527033610827891,0.5327786906044157,0.42553425672160283,1.9616418628041747,11.539208178001891,3656.7413522992774,13270.63745141272,8222.101163477251,21492.73861488997
exudates,97,0,0.4202014037521965,1.3410577644457198,4.495182390060071,0.5182766828723484,0.33385778056311116,1.8533357116415101,7.970501666043498,3652.511745633296,13267.1609256262,8221.904868246264,21489.06579387246
exudates,98,10,9.571002248630773,1.8728841596254724,4.46268196569205,0.5042031995130251,0.26010275839447106,1.7618402306284828,100.27027675813456,3595.093628458763,13227.409746665753,8218.907731532381,21446.317478198136
exudates,99,0,8.489561801165065,2.4930258843516424,4.428925731935601,0.4905375660134648,0.4350081080256602,1.8963803343508205,124.49838636585535,3524.1145219201285,13177.741567208364,8215.130343644518,21392.871910852882
exudates,100,0,7.225309242421972,3.128550956021816,4.393488521392629,0.47726180795492196,0.62114961737673,2.0551714606620175,142.71755288595193,3443.293945132399,13120.29895484298,8210.73227074998,21331.03122559296
exudates,101,0,5.881463384259782,3.6725144073302776,4.3562724520646015,0.46436174451652035,0.8009720241611334,2.2178697739192446,149.29179944794225,3359.4705772271122,13059.55518672554,8206.056633840224,21265.611820565762
exudates,102,0,4.58633872107012,4.021883808748766,4.3175640150208805,0.4518271997643186,0.947671641554617,2.3547928627806067,141.93581685176517,3280.5412650891935,13001.114144783003,8201.540497670927,21202.65464245393
exudates,103,0,3.44868422957868,4.121167882869398,4.277954428848633,0.43965101880011326,1.0359528772584143,2.4374507789284823,123.19251203607514,3212.7051576296094,12949.7869041973,8197.565536987386,21147.35244118469
exudates,104,0,2.526909278317468,3.980269725817111,4.238168020084661,0.42782738788251046,1.0536516752984288,2.4506200615463563,98.69863400282237,3158.8612081579936,12908.211574133096,8194.346813993083,21102.558388126177
exudates,105,0,1.8273040535051137,3.6584310718181587,4.19889289069666,0.41635031864529154,1.0059603444080807,2.3972456360138867,74.04379355200241,3118.8116460985743,12876.713040819759,8191.9173515468665,21068.630392366627
exudates,106,0,1.321959350045344,3.2328271873084313,4.160677517356265,0.40521281144602983,0.9105965059697294,2.2939418647725973,52.78327484982865,3090.490712227759,12854.053213204663,8190.184543145489,21044.23775635015
exudates,107,0,0.9695150525707946,2.772913593164461,4.123899671316608,0.3944066841599854,0.7892245122372125,2.162256331806345,36.24596452913969,3071.20376294334,12838.347386406043,8189.002072052095,21027.34945845814
exudates,108,0,0.7292539826240048,2.3284575641432843,4.0887821252609795,0.383922792358217,0.6607397506009245,2.021548603084191,24.282958119533042,3058.40775439585,12827.710343916577,8188.221743755745,21015.93208767232
exudates,109,0,0.5675369952687773,1.9285149268121065,4.055427441044985,0.3737513798314773,0.538334365965888,1.8856762806775684,16.079452088442185,3050.0419168403328,12820.566419047485,8187.718905447374,21008.28532449486
exudates,110,0,0.4591836743731148,1.5857431801419604,4.0238543173859345,0.3638824092050245,0.4294570117332096,1.762721054228019,10.681216579127822,3044.5814127016174,12815.728426580723,8187.3992956238435,21003.12772220457
exudates,111,0,0.3877787082313533,1.3005979023509762,3.9940289084702645,0.35430582349826056,0.3371142955465837,1.6561947172171232,7.201748277274156,3040.988477338345,12812.379799192224,8187.197948041348,20999.577747233572
exudates,112,10,9.546259787313454,1.8210532577629819,3.9635750886384837,0.34499745501457246,0.26304655519395337,1.5662114099237514,93.5622540847502,2991.0426994729387,12772.01042607824,8184.048624134616,20956.059050212854
exudates,113,0,8.474239983327239,2.4315528808000844,3.9319093631764432,0.33594518692259806,0.4318320663724692,1.6994874058889033,116.75816063582445,2929.050203681454,12721.303258227048,8180.060533249599,20901.363791476648
exudates,114,0,7.218024339287345,3.0619213018883906,3.898613979529789,0.32713839080908097,0.6139337989001931,1.8574638851691987,134.5811270511729,2858.1581416354206,12662.336409300318,8175.392332775001,20837.72874207532
exudates,115,0,5.878149933540889,3.606746863088861,3.8635798432181865,0.3185686286509973,0.7921490960446268,2.0205653698007415,141.55476357327527,2784.3292047236146,12599.647135917929,8170.402283142894,20770.049419060822
exudates,116,0,4.5821966888292955,3.962106454804182,3.8270679730735315,0.31022985505116135,0.9396735197965347,2.159533054120538,135.2458983698655,2714.569569998326,12539.051022932268,8165.557903260922,20704.608926193192
exudates,117,0,3.440244466991316,4.069735069242845,3.7896387988531197,0.30211788813092466,1.030546881125439,2.2456241245363424,117.84638795358374,2654.464609301424,12485.640794666107,8161.276022137817,20646.916816803925
exudates,118,0,2.512854025226985,3.936661185102922,3.751988472440766,0.2942294137837107,1.0514972026034035,2.262838369312763,94.66149611509675,2606.6899493360875,12442.286323538636,8157.798163039587,20600.084486578224
exudates,119,0,1.808013899119916,3.6204811945186552,3.714783474944987,0.2865610469799434,1.006710909058158,2.213316584728692,71.09751870312836,2571.1430252861137,12409.424648577298,8155.168425919703,20564.593074497003
exudates,120,0,1.2986152104957758,3.1980827712269413,3.678557784828816,0.2791087905355696,0.9133685654205626,2.1132116763120603,50.66367119304476,2546.024870526996,12385.817781837948,8153.291882718182,20539.10966455613
exudates,121,0,0.9434023084844867,2.7394253694143207,3.6436807574835317,0.271867905147893,0.7930628842860044,1.9839883034002346,34.71601244136555,2528.952692326643,12369.516225609616,8152.012530037773,20521.52875564739
exudates,122,0,0.7014266946007823,2.2949946461389303,3.6103713927230023,0.264833030258105,0.6648811689828187,1.845144372657568,23.156013893948362,2517.6667611744456,12358.550000148287,8151.170542165178,20509.720542313466
exudates,123,0,0.5387364903918541,1.8944628650784467,3.5787317840547983,0.2579983939293543,0.5422787386329898,1.7107366664004955,15.21874106484737,2510.332203371767,12351.26499340587,8150.630783137061,20501.89577654293
exudates,124,0,0.42987380211056764,1.5509096662736561,3.5487823610945592,0.2513580156933079,0.43293423539979387,1.5890187611701965,9.991771626376892,2505.589815434267,12346.411697355124,8150.290766951814,20496.702464306938
exudates,125,0,0.3585849663671834,1.2646630151742724,3.5204926480611167,0.24490587083955123,0.34001877778151945,1.4836210971252874,6.609731415777953,2502.5197412718994,12343.1348736523,8150.080191968176,20493.215065620476
exudates,126,10,9.523530705039288,1.7748072197348541,3.491634900861235,0.23862734512704697,0.26584307394847984,1.3946244852388436,87.50841896483502,2459.471255513772,12302.08815516243,8146.761180507071,20448.8493356695
exudates,127,0,8.459702401156619,2.3763939219988606,3.4616513824078243,0.23251500456838092,0.4291470821883094,1.5263242045507395,109.70882332901506,2405.853819330579,12250.286854817374,8142.540284084749,20392.827138902125
exudates,128,0,7.210639681463318,3.0017484835423986,3.4301356048637026,0.2265622720874511,0.6075823213975597,1.6831110292913518,127.09263467017398,2344.3144797988984,12189.751572470524,8137.575865639881,20327.327438110406
exudates,129,0,5.874422783108655,3.5469423684522607,3.396970426526839,0.22076388528863367,0.7842711327948062,1.8461071032805036,134.3545697713364,2280.0036461272775,12125.086510658844,8132.24290679763,20257.329417456473
exudates,130,0,4.577870379712598,3.907374740203955,3.3623917023146124,0.21511606259634092,0.9324406540317655,1.9864634775206051,128.95578372868513,2219.0630266378002,12062.3164536137,8127.041705528084,20189.358159141782
exudates,131,0,3.432179072584598,4.022344327594775,3.3269255294677254,0.2096162100709024,1.0255712490087063,2.075243084017029,112.7801737294197,2166.450369279656,12006.810108520387,8122.426650746222,20129.23675926661
exudates,132,0,2.4998191420483424,3.8962729545962773,3.291233275259785,0.20426231209349205,1.049413475142614,2.0957611589723215,90.8215454118753,2124.5845387016734,11961.663671779139,8118.667436634156,20080.331108413295
exudates,133,0,1.7903156495577832,3.5852229613102606,3.2559519125175256,0.19905233348315493,1.0072437651145014,2.0494264986595074,68.30061457457353,2093.4260446893036,11927.422921269377,8115.81986764373,20043.242788913107
exudates,134,0,1.2772941396265702,3.1657779955035417,3.2215933913276356,0.19398386163569656,0.9157438082085754,1.9519588733552546,48.66925467903068,2071.420694213414,11902.848639869362,8113.78639450117,20016.635034370534
exudates,135,0,0.919601776876258,2.7083252616997604,3.1885123840350857,0.189054010133345,0.7964283964010568,1.8247329805787482,33.30023978723755,2056.4850886978224,11885.926598987226,8112.400528670611,19998.327127657838
exudates,136,0,0.6760862977811835,2.2639848643497342,3.1569193443002774,0.1842594869225568,0.6685499498636313,1.6873617669063887,22.138669895406803,2046.636502519779,11874.602831759961,8111.489905670038,19986.09273743
